timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1642073209917,27763,HTTP Request CodeIgniter,200,OK,Thread Group 1-56,text,true,,311904,134,100,100,https://codeigniter.herebussiness.com/,3328,0,1213
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-56,text,false,,834,0,100,100,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-56,text,false,,834,0,100,100,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-56,text,false,,834,0,100,100,null,0,0,0
1642073208871,28999,HTTP Request CodeIgniter,200,OK,Thread Group 1-8,text,true,,311904,134,99,99,https://codeigniter.herebussiness.com/,3433,0,1222
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-8,text,false,,834,0,99,99,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-8,text,false,,834,0,99,99,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-8,text,false,,834,0,99,99,null,0,0,0
1642073208919,29731,HTTP Request CodeIgniter,200,OK,Thread Group 1-12,text,true,,311918,134,98,98,https://codeigniter.herebussiness.com/,3015,0,1124
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-12,text,false,,834,0,98,98,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-12,text,false,,834,0,98,98,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-12,text,false,,834,0,98,98,null,0,0,0
1642073209194,29688,HTTP Request CodeIgniter,200,OK,Thread Group 1-39,text,true,,311904,134,97,97,https://codeigniter.herebussiness.com/,4221,0,1303
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-39,text,false,,834,0,97,97,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-39,text,false,,834,0,97,97,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-39,text,false,,834,0,97,97,null,0,0,0
1642073208691,30540,HTTP Request CodeIgniter,200,OK,Thread Group 1-6,text,true,,311904,134,96,96,https://codeigniter.herebussiness.com/,3012,0,1157
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-6,text,false,,834,0,96,96,null,0,0,0
